n	Chess	Checkers	RCube		
1	0.599112	0.007872	0.263562		
2	0.662999	0.793058	0.858173		
3	0.866304	0.735026	0.572182		
4	0.342420	0.985410	0.026580		
5	0.352050	0.383921	0.700101		
6	0.340812	0.049821	0.941856		
7	0.395434	0.955555	0.010846		
8	0.560870	0.986844	0.845398		
9	0.248833	0.377892	0.771646		
10	0.116170	0.788732	0.408785		
11	0.042698	0.593501	0.024946		
12	0.826224	0.196886	0.036189		
13	0.961425	0.764469	0.923314		
14	0.461224	0.888977	0.193762		
15	0.238164	0.039651	0.861153		
16	0.379004	0.194656	0.810966		
17	0.296533	0.553938	0.220932		
18	0.094017	0.830748	0.430577		
19	0.261810	0.804773	0.297183		
20	0.650996	0.707322	0.795245		
21	0.341655	0.933180	0.464525		
22	0.284604	0.411255	0.622549		
23	0.653115	0.397501	0.124000		
24	0.137815	0.038144	0.733286		
25	0.083801	0.631913	0.117801		
26	0.927148	0.536806	0.953970		
27	0.727051	0.437297	0.208281		
28	0.381170	0.753303	0.203735		
29	0.076944	0.365118	0.945929		
30	0.204813	0.828467	0.191834		
31	0.724986	0.946979	0.846008		
32	0.521339	0.921240	0.714351		
33	0.905707	0.895849	0.862153		
34	0.610900	0.630925	0.662364		
35	0.766510	0.902719	0.776942		
36	0.319935	0.276436	0.913998		
37	0.159945	0.941641	0.244618		
38	0.232630	0.674784	0.462698		
39	0.641580	0.502247	0.788986		
40	0.636255	0.292463	0.169072		
41	0.847930	0.989837	0.593494		
42	0.812964	0.443837	0.106407		
43	0.171929	0.451537	0.658558		
44	0.531813	0.120778	0.219254		
45	0.190623	0.814535	0.091082		
46	0.561590	0.954577	0.666868		
47	0.517343	0.667705	0.685025		
48	0.873601	0.948035	0.580668		
49	0.633452	0.812283	0.944774		
50	0.045588	0.474382	0.594832		
51	0.671560	0.857127	0.981642		
52	0.184217	0.781188	0.160285		
53	0.376824	0.623576	0.451018		
54	0.416757	0.339452	0.690756		
55	0.757015	0.254091	0.311451		
56	0.894099	0.787453	0.536543		
57	0.083884	0.860962	0.208545		
58	0.135768	0.894845	0.307791		
59	0.370803	0.718831	0.099925		
60	0.329264	0.938354	0.171870		
61	0.609406	0.516137	0.952263		
62	0.734448	0.443832	0.013309		
63	0.476454	0.587532	0.036451		
64	0.508043	0.153707	0.086397		
65	0.840383	0.729210	0.917329		
66	0.058431	0.760387	0.085168		
67	0.412683	0.549712	0.121821		
68	0.183575	0.696800	0.454716		
69	0.803002	0.406243	0.236792		
70	0.088029	0.190872	0.660706		
71	0.360266	0.967564	0.255879		
72	0.581536	0.078720	0.111112		
73	0.548966	0.972785	0.680725		
74	0.885234	0.194298	0.389191		
75	0.162013	0.539023	0.127639		
76	0.999363	0.352230	0.171050		
77	0.106114	0.293318	0.521158		
78	0.305713	0.890913	0.024188		
79	0.676330	0.442658	0.408643		
80	0.066051	0.180558	0.781411		
81	0.613921	0.626463	0.562131		
82	0.426720	0.613871	0.047877		
83	0.068567	0.280595	0.571747		
84	0.491986	0.876775	0.196867		
85	0.543627	0.021598	0.315825		
86	0.000021	0.277336	0.595470		
87	0.135593	0.109369	0.918866		
88	0.929319	0.590737	0.948605		
89	0.454881	0.998653	0.122645		
90	0.179169	0.166795	0.581101		
91	0.690493	0.912794	0.723639		
92	0.635164	0.083992	0.307899		
93	0.851517	0.651376	0.796571		
94	0.741806	0.542563	0.833464		
95	0.174486	0.180672	0.754696		
96	0.147512	0.229555	0.699657		
97	0.811928	0.115139	0.087800		
98	0.628435	0.994682	0.747296		
99	0.129866	0.039026	0.847393		
100	0.267329	0.183197	0.865842		
101	0.815981	0.220697	0.464297		
102	0.530728	0.506555	0.568403		
103	0.412521	0.827920	0.378925		
104	0.727044	0.758382	0.510891		
105	0.745797	0.663207	0.556965		
106	0.831378	0.440273	0.261651		
107	0.155670	0.340446	0.754034		
108	0.842604	0.295493	0.130541		
109	0.984416	0.449150	0.327496		
110	0.325306	0.530457	0.074458		
111	0.058220	0.251520	0.662117		
112	0.693226	0.663227	0.681909		
113	0.552653	0.993830	0.621467		
114	0.842494	0.873418	0.744809		
115	0.079672	0.706007	0.244255		
116	0.107826	0.868772	0.476391		
117	0.040411	0.156662	0.787492		
118	0.813279	0.686054	0.592178		
119	0.024961	0.012425	0.575618		
120	0.375150	0.072836	0.657946		
121	0.951361	0.445049	0.432211		
122	0.940541	0.947583	0.713560		
123	0.323256	0.474771	0.713413		
124	0.695697	0.700626	0.903357		
125	0.265167	0.359990	0.710339		
126	0.916774	0.800369	0.894964		
127	0.548736	0.285642	0.339309		
128	0.252794	0.276202	0.525809		
129	0.184193	0.654016	0.159779		
130	0.577104	0.943400	0.806368		
131	0.912478	0.263961	0.064401		
132	0.660186	0.093287	0.206081		
133	0.259511	0.480409	0.971483		
134	0.158801	0.759171	0.394772		
135	0.223078	0.746165	0.080903		
136	0.018433	0.062410	0.724178		
137	0.182663	0.472876	0.888110		
138	0.952473	0.638768	0.927788		
139	0.882037	0.306150	0.206853		
140	0.753935	0.617524	0.705560		
141	0.189026	0.011685	0.998689		
142	0.041683	0.718482	0.192025		
143	0.651880	0.121033	0.184128		
144	0.012751	0.479813	0.979753		
145	0.544143	0.639488	0.646439		
146	0.514201	0.145330	0.021880		
147	0.928021	0.786421	0.567574		
148	0.242707	0.672001	0.251687		
149	0.075290	0.357486	0.598615		
150	0.279185	0.491976	0.612076		
151	0.044982	0.777317	0.311925		
152	0.413190	0.114380	0.608821		
153	0.458401	0.937071	0.148721		
154	0.244547	0.997127	0.188995		
155	0.767491	0.957153	0.661747		
156	0.810897	0.272790	0.170880		
157	0.899956	0.702007	0.523621		
158	0.313416	0.557126	0.119382		
159	0.402693	0.584908	0.225271		
160	0.843787	0.094198	0.297671		
161	0.352327	0.589874	0.092145		
162	0.292703	0.167208	0.883475		
163	0.157682	0.880392	0.094461		
164	0.535413	0.711379	0.984304		
165	0.789294	0.146687	0.121716		
166	0.953208	0.221142	0.031075		
167	0.544595	0.375778	0.406322		
168	0.911605	0.085474	0.488091		
169	0.514975	0.258116	0.193433		
170	0.563749	0.868108	0.540193		
171	0.115925	0.524819	0.313361		
172	0.939228	0.014441	0.214816		
173	0.369733	0.961759	0.185300		
174	0.172999	0.995301	0.253067		
175	0.449348	0.285179	0.898215		
176	0.305661	0.352767	0.594799		
177	0.304799	0.734952	0.328803		
178	0.003816	0.579340	0.048760		
179	0.880753	0.136432	0.177947		
180	0.945887	0.717039	0.701934		
181	0.814698	0.116894	0.433589		
182	0.990857	0.593614	0.886899		
183	0.793017	0.757332	0.871347		
184	0.120571	0.757920	0.452800		
185	0.352700	0.443921	0.948214		
186	0.546806	0.738815	0.527019		
187	0.679452	0.973409	0.899714		
188	0.064095	0.404626	0.718349		
189	0.777256	0.195150	0.209167		
190	0.372529	0.515359	0.167015		
191	0.060065	0.568526	0.007165		
192	0.635200	0.843192	0.889824		
193	0.015928	0.663445	0.228506		
194	0.500836	0.568172	0.914443		
195	0.924011	0.597251	0.956250		
196	0.310975	0.163464	0.764182		
197	0.622063	0.039761	0.178479		
198	0.568011	0.597256	0.519037		
199	0.423283	0.260426	0.810823		
200	0.955047	0.967428	0.583163		
201	0.217594	0.180211	0.865456		
202	0.962225	0.895040	0.747586		
203	0.819111	0.252714	0.211675		
204	0.220318	0.962907	0.167104		
205	0.588584	0.068192	0.450230		
206	0.466435	0.389805	0.917304		
207	0.459171	0.317571	0.534587		
208	0.770598	0.304097	0.222183		
209	0.478947	0.306299	0.598849		
210	0.108656	0.458642	0.670329		
211	0.568156	0.681051	0.642428		
212	0.074450	0.443554	0.878833		
213	0.200911	0.414548	0.594689		
214	0.147425	0.383943	0.967068		
215	0.904874	0.573534	0.956126		
216	0.241934	0.765824	0.106993		
217	0.775385	0.168870	0.462275		
218	0.740384	0.969537	0.565769		
219	0.530360	0.265563	0.067002		
220	0.552436	0.974574	0.601696		
221	0.832871	0.779193	0.942953		
222	0.831225	0.827874	0.904666		
223	0.369879	0.837567	0.025299		
224	0.349764	0.908835	0.031087		
225	0.820005	0.198165	0.164070		
226	0.666164	0.829230	0.963806		
227	0.695169	0.576909	0.871559		
228	0.182636	0.939132	0.433287		
229	0.528103	0.258936	0.426478		
230	0.762204	0.436571	0.089154		
231	0.480468	0.008024	0.728415		
232	0.676475	0.523867	0.923926		
233	0.119837	0.387616	0.702277		
234	0.366679	0.912768	0.113749		
235	0.952258	0.268470	0.055448		
236	0.905133	0.138459	0.245769		
237	0.667624	0.241652	0.278307		
238	0.263830	0.518688	0.250723		
239	0.464792	0.946703	0.173780		
240	0.597334	0.556051	0.849986		
241	0.584801	0.982567	0.627379		
242	0.309580	0.911074	0.235992		
243	0.316964	0.747685	0.078393		
244	0.088891	0.207030	0.899389		
245	0.054933	0.596769	0.066101		
246	0.217021	0.658539	0.086917		
247	0.780181	0.946265	0.791810		
248	0.173433	0.072432	0.979030		
